,Justice,Média,Police,AN,Science,Administration,Entreprises,Associations,Gouvernement,Agences,Médecins,Sénat
787,2.0,5.0,1.0,2.0,1.0,2.0,5.0,2.0,4.0,2.0,1.0,2.0
788,2.0,4.0,2.0,4.0,2.0,3.0,4.0,3.0,4.0,2.0,2.0,3.0
789,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0
790,4.0,4.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0
791,2.0,2.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0
792,4.0,4.0,4.0,5.0,5.0,2.0,4.0,5.0,2.0,2.0,4.0,3.0
793,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0
794,4.0,5.0,2.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,2.0,5.0
795,2.0,2.0,2.0,2.0,1.0,2.0,4.0,2.0,2.0,2.0,1.0,2.0
796,4.0,4.0,4.0,4.0,3.0,2.0,2.0,2.0,4.0,4.0,2.0,4.0
797,4.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0
798,2.0,5.0,4.0,5.0,2.0,5.0,2.0,2.0,4.0,5.0,4.0,5.0
799,3.0,5.0,2.0,5.0,3.0,5.0,4.0,3.0,3.0,5.0,3.0,5.0
800,2.0,4.0,2.0,4.0,2.0,2.0,4.0,2.0,4.0,4.0,2.0,4.0
801,5.0,5.0,2.0,4.0,2.0,4.0,5.0,4.0,4.0,4.0,2.0,4.0
802,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
803,5.0,5.0,4.0,4.0,1.0,2.0,2.0,2.0,4.0,4.0,1.0,2.0
804,3.0,2.0,2.0,5.0,3.0,2.0,3.0,4.0,3.0,2.0,4.0,5.0
805,4.0,5.0,2.0,4.0,2.0,2.0,2.0,2.0,5.0,2.0,2.0,4.0
806,2.0,4.0,2.0,4.0,2.0,4.0,4.0,2.0,4.0,4.0,2.0,4.0
807,4.0,2.0,2.0,2.0,1.0,4.0,2.0,2.0,1.0,2.0,1.0,4.0
808,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
809,2.0,4.0,2.0,4.0,4.0,2.0,5.0,2.0,2.0,4.0,2.0,4.0
810,4.0,5.0,2.0,5.0,2.0,4.0,2.0,4.0,5.0,5.0,2.0,5.0
811,4.0,5.0,2.0,4.0,2.0,2.0,4.0,2.0,5.0,4.0,2.0,4.0
812,2.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0
813,5.0,2.0,2.0,5.0,3.0,1.0,5.0,2.0,5.0,3.0,2.0,3.0
814,3.0,2.0,2.0,4.0,2.0,2.0,3.0,2.0,4.0,2.0,1.0,3.0
815,4.0,4.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
816,5.0,5.0,2.0,4.0,4.0,5.0,3.0,4.0,5.0,5.0,2.0,5.0
817,2.0,2.0,2.0,2.0,1.0,2.0,4.0,1.0,2.0,2.0,1.0,2.0
818,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
819,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
820,2.0,4.0,2.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0
821,2.0,4.0,4.0,5.0,1.0,4.0,4.0,4.0,5.0,5.0,1.0,2.0
822,4.0,4.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0
823,4.0,4.0,2.0,2.0,1.0,2.0,4.0,4.0,4.0,4.0,1.0,2.0
824,2.0,5.0,2.0,2.0,4.0,4.0,2.0,2.0,4.0,2.0,4.0,2.0
825,4.0,4.0,2.0,2.0,1.0,5.0,4.0,2.0,2.0,2.0,2.0,4.0
826,2.0,4.0,1.0,5.0,2.0,4.0,5.0,4.0,2.0,2.0,2.0,5.0
827,2.0,4.0,2.0,4.0,2.0,4.0,5.0,2.0,4.0,2.0,2.0,2.0
828,3.0,3.0,5.0,5.0,3.0,5.0,5.0,3.0,5.0,5.0,3.0,5.0
829,5.0,5.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,5.0,2.0
830,2.0,4.0,2.0,5.0,2.0,2.0,4.0,2.0,4.0,4.0,2.0,5.0
831,2.0,4.0,2.0,3.0,2.0,2.0,4.0,2.0,2.0,2.0,1.0,3.0
832,2.0,5.0,2.0,4.0,2.0,2.0,2.0,2.0,4.0,4.0,2.0,3.0
833,2.0,5.0,2.0,5.0,2.0,5.0,5.0,2.0,5.0,4.0,2.0,4.0
834,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,2.0,4.0
835,5.0,5.0,1.0,4.0,2.0,4.0,4.0,2.0,4.0,5.0,2.0,1.0
836,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,4.0,1.0
837,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,3.0
838,4.0,4.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0
839,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0
840,4.0,2.0,1.0,2.0,2.0,4.0,4.0,2.0,2.0,2.0,1.0,2.0
