,SEXE,AGE,OA196_r1,OA196_r2,OA196_r3,OA196_r4,OA196_r5,OA196_r6,OA196_r7
117,Une femme,68.0,2,1,1,-1,-1,1,1
118,Un homme,39.0,-1,-1,2,1,1,-1,1
119,Un homme,78.0,-1,1,2,2,1,1,1
120,Un homme,74.0,1,1,1,2,1,1,1
121,Une femme,42.0,-2,-1,2,2,1,1,-1
122,Une femme,81.0,1,1,0,-1,-1,0,1
123,Un homme,35.0,2,2,2,2,2,2,2
124,Une femme,70.0,1,1,1,-1,0,1,2
125,Un homme,75.0,1,-1,1,1,1,1,1
126,Une femme,34.0,2,1,2,2,-1,2,-1
127,Un homme,47.0,2,2,2,2,2,2,2
128,Une femme,65.0,1,1,1,1,1,1,2
129,Un homme,23.0,1,1,2,1,1,2,2
130,Un homme,56.0,1,2,1,1,-1,2,1
131,Un homme,55.0,-1,1,1,-1,-2,1,-2
132,Une femme,48.0,2,1,2,-1,-1,1,2
133,Une femme,23.0,1,1,1,-1,1,1,1
134,Une femme,38.0,0,0,0,0,0,0,0
135,Un homme,77.0,2,-1,1,-1,1,1,1
136,Un homme,57.0,1,1,1,1,-1,1,-1
137,Un homme,42.0,1,-2,-1,-1,1,-1,1
138,Une femme,78.0,1,1,-1,-1,-1,-1,-1
139,Une femme,42.0,0,0,0,0,0,0,0
140,Un homme,39.0,0,0,1,0,0,0,0
141,Une femme,54.0,1,0,0,0,0,0,1
142,Une femme,39.0,0,1,0,0,0,1,1
143,Un homme,77.0,1,0,1,-1,-1,1,2
144,Une femme,32.0,1,1,-1,1,-1,2,1
145,Une femme,18.0,2,2,2,-1,-1,2,2
146,Une femme,72.0,1,1,1,1,1,1,1
147,Une femme,21.0,0,0,0,0,0,0,0
148,Un homme,66.0,1,2,1,-1,-2,1,2
149,Un homme,52.0,1,1,-1,-1,-1,1,2
150,Une femme,57.0,1,2,2,1,1,1,1
151,Une femme,78.0,1,1,1,-1,-1,1,1
152,Un homme,51.0,1,1,1,1,-1,2,-1
153,Un homme,57.0,1,1,-1,-1,-1,1,2
154,Une femme,40.0,1,1,2,1,2,-1,1
155,Un homme,57.0,1,2,2,1,-2,-1,-1
156,Une femme,25.0,2,-1,-1,-1,-1,1,1
157,Une femme,76.0,2,-2,-2,1,-1,1,2
158,Une femme,50.0,1,1,2,-1,1,1,1
159,Un homme,74.0,1,-1,2,-1,-1,1,1
160,Une femme,73.0,0,1,0,1,1,1,0
161,Un homme,21.0,1,-1,1,1,1,-1,1
162,Une femme,35.0,2,-1,-1,-2,-1,-1,-2
163,Une femme,34.0,1,1,1,1,1,-1,1
164,Une femme,56.0,2,1,1,-1,-1,1,1
165,Un homme,54.0,1,-2,0,1,1,1,-1
166,Une femme,30.0,1,-1,1,1,-1,1,1
167,Un homme,48.0,1,1,1,1,-1,1,1
168,Un homme,74.0,2,1,1,-1,-1,1,0
169,Un homme,33.0,-2,-1,-1,-2,-1,-1,1
170,Une femme,36.0,0,0,0,0,0,0,0
171,Une femme,54.0,1,1,1,-1,-1,1,0
172,Un homme,33.0,1,1,1,1,1,1,-1
173,Un homme,54.0,1,0,1,1,-1,0,0
174,Une femme,33.0,1,1,-1,1,1,0,-1
175,Une femme,34.0,-1,0,2,2,-1,1,-1
176,Un homme,77.0,2,2,1,1,1,2,2
177,Une femme,67.0,0,0,0,-1,0,1,1
178,Une femme,56.0,1,-1,-1,1,0,0,1
179,Un homme,72.0,2,1,2,2,-1,2,2
180,Un homme,57.0,2,1,2,2,1,-1,-1
181,Une femme,78.0,1,-1,1,-1,1,0,-1
182,Un homme,62.0,1,2,2,1,-1,-1,-1
183,Un homme,29.0,0,1,1,-1,-1,-1,0
184,Un homme,22.0,-1,2,2,2,-1,-2,-2
185,Une femme,78.0,1,1,1,1,1,1,1
186,Un homme,54.0,1,1,0,0,1,1,-1
187,Une femme,45.0,-1,-2,0,-2,2,0,-2
188,Une femme,44.0,2,2,2,1,1,0,1
189,Une femme,66.0,0,1,1,1,-1,0,1
190,Un homme,61.0,1,1,2,-1,-1,0,1
191,Un homme,68.0,1,1,1,-2,-1,1,1
192,Une femme,80.0,2,1,1,2,1,1,2
193,Une femme,36.0,1,-1,2,-1,-2,1,1
194,Une femme,21.0,-1,-2,2,2,2,1,1
195,Une femme,39.0,1,0,0,-1,0,0,1
196,Un homme,30.0,2,2,2,2,1,2,2
197,Un homme,18.0,2,2,1,1,-1,-1,2
198,Un homme,65.0,1,1,1,1,1,1,1
199,Une femme,21.0,0,0,0,2,2,0,1
200,Une femme,73.0,1,-1,1,1,-1,1,1
201,Une femme,42.0,1,1,2,-1,1,1,1
202,Une femme,22.0,-1,-1,-1,-1,-1,-1,-1
203,Une femme,27.0,0,0,0,0,0,0,0
204,Une femme,73.0,2,-1,1,-1,-1,1,1
205,Un homme,28.0,0,0,0,0,0,0,0
206,Un homme,33.0,1,1,-1,-1,1,1,-1
207,Un homme,55.0,2,0,1,0,-1,1,1
208,Une femme,24.0,2,0,2,2,-1,2,1
209,Un homme,35.0,1,-1,-1,-1,-1,-1,-2
210,Une femme,82.0,1,-1,0,1,-1,-1,1
211,Une femme,79.0,1,-1,1,1,-1,-1,1
212,Une femme,44.0,2,0,0,0,0,0,0
213,Une femme,32.0,1,-1,2,1,0,2,2
214,Une femme,76.0,1,2,1,1,1,1,1
215,Un homme,81.0,1,1,2,2,1,2,1
216,Une femme,24.0,1,0,0,1,-1,1,0
217,Une femme,23.0,1,-1,1,1,1,2,2
218,Une femme,77.0,1,0,1,0,0,0,0
219,Une femme,76.0,1,1,1,1,1,1,1
220,Un homme,21.0,0,0,0,0,0,0,0
221,Une femme,75.0,1,-1,1,-1,-2,0,1
222,Un homme,75.0,1,1,2,1,1,-1,-1
223,Un homme,51.0,1,0,0,0,0,1,2
224,Un homme,79.0,1,1,-1,1,1,-2,1
225,Une femme,68.0,1,-1,1,-1,1,-1,2
226,Un homme,50.0,2,2,1,2,2,1,1
227,Une femme,70.0,-1,1,1,1,1,1,1
228,Une femme,29.0,1,1,1,1,1,1,1
229,Un homme,52.0,2,-1,1,1,1,2,1
230,Un homme,34.0,2,1,2,1,1,1,1
231,Un homme,67.0,1,1,1,1,2,2,1
232,Un homme,70.0,2,-1,2,2,2,0,2
233,Un homme,64.0,1,1,1,1,1,1,2
234,Une femme,76.0,1,-1,1,1,-1,1,2
235,Un homme,55.0,1,1,1,1,1,1,1
236,Un homme,76.0,2,1,1,-1,-1,2,2
237,Un homme,46.0,2,2,2,2,2,1,1
238,Un homme,76.0,1,1,1,-1,-1,1,1
239,Un homme,55.0,1,1,1,-1,1,2,-1
240,Une femme,54.0,-2,0,1,2,2,1,1
241,Un homme,56.0,-2,2,1,2,1,2,2
242,Un homme,76.0,-1,2,2,1,-2,-1,-1
243,Une femme,37.0,-1,2,2,-1,-1,1,1
244,Une femme,24.0,-1,-1,2,2,2,-1,-1
245,Un homme,22.0,1,1,1,2,2,2,1
246,Un homme,45.0,1,-1,1,1,1,1,-1
247,Un homme,49.0,1,1,1,1,1,1,1
248,Une femme,20.0,1,-1,2,-1,0,1,1
249,Une femme,81.0,1,1,1,1,0,1,1
250,Une femme,35.0,1,0,1,-1,0,0,0
251,Une femme,39.0,1,2,1,2,1,2,1
252,Un homme,80.0,1,1,2,2,1,1,2
253,Un homme,24.0,1,1,1,1,-1,1,-1
254,Une femme,75.0,2,1,1,1,1,0,2
255,Une femme,20.0,1,1,1,1,1,-1,1
256,Un homme,71.0,1,1,1,-1,-1,-1,-1
257,Une femme,33.0,1,1,2,1,1,1,2
258,Une femme,37.0,1,-1,1,-1,1,1,1
259,Un homme,70.0,1,1,1,-1,-1,1,-1
260,Un homme,36.0,2,1,1,-1,2,-1,-1
261,Une femme,35.0,1,1,-1,-1,-1,1,1
262,Une femme,71.0,-1,1,1,-1,1,-1,2
263,Une femme,41.0,0,1,1,1,1,0,1
264,Une femme,60.0,0,1,1,1,0,0,0
265,Un homme,19.0,1,1,2,-1,1,-1,-2
266,Un homme,52.0,1,1,1,-1,1,1,2
267,Une femme,35.0,0,0,0,-2,0,-2,0
268,Un homme,55.0,1,1,0,-1,1,1,0
269,Un homme,53.0,1,-1,0,1,1,0,0
270,Une femme,44.0,0,1,1,-1,0,1,0
271,Un homme,45.0,0,0,0,0,0,0,0
272,Une femme,61.0,1,1,2,-1,-1,1,1
273,Une femme,59.0,-1,-1,2,1,-2,-2,1
274,Une femme,29.0,1,-2,-1,-2,-2,-1,0
275,Une femme,34.0,1,-1,1,1,1,1,1
276,Une femme,67.0,1,1,2,1,-1,2,2
277,Un homme,24.0,1,2,1,1,1,2,1
278,Un homme,43.0,2,1,1,-2,-1,1,-1
279,Un homme,61.0,1,1,1,1,1,1,1
280,Un homme,64.0,1,1,2,1,1,1,1
281,Une femme,81.0,1,1,2,1,-1,1,1
282,Une femme,52.0,0,0,0,0,0,0,0
283,Une femme,68.0,1,-2,1,-1,-1,-1,-1
284,Un homme,58.0,-1,1,1,1,1,1,1
285,Un homme,40.0,1,1,1,1,1,1,1
286,Une femme,76.0,2,2,1,1,2,2,2
287,Un homme,77.0,2,-1,1,-1,-1,-1,1
288,Un homme,75.0,-1,-1,1,1,-1,1,1
289,Une femme,40.0,1,1,-1,-2,-1,1,1
290,Un homme,47.0,0,1,1,0,0,0,1
291,Un homme,72.0,2,1,-2,-1,-2,1,1
292,Une femme,40.0,0,-1,1,1,1,1,1
293,Une femme,54.0,1,0,1,0,0,0,1
294,Un homme,60.0,-1,1,1,-1,1,-1,1
295,Un homme,50.0,1,1,1,1,1,1,1
296,Une femme,77.0,0,0,0,0,0,0,0
297,Une femme,65.0,1,-1,-1,-1,-1,-1,1
298,Une femme,66.0,2,0,1,-1,0,1,1
299,Un homme,71.0,1,1,1,1,1,1,1
300,Une femme,23.0,-1,1,2,1,1,-1,-2
301,Une femme,33.0,1,0,0,1,1,1,0
302,Un homme,76.0,1,2,1,1,1,1,1
303,Un homme,47.0,1,1,1,1,1,1,1
304,Un homme,57.0,1,-1,1,1,-1,-1,1
305,Une femme,51.0,2,-1,1,-1,-1,-1,1
306,Un homme,42.0,2,-2,-2,2,2,-1,-2
307,Une femme,51.0,2,1,-1,-2,-2,2,1
308,Une femme,51.0,1,0,1,1,1,1,0
309,Un homme,44.0,1,-1,1,-1,1,1,1
310,Une femme,29.0,-1,1,-2,1,-1,2,1
311,Un homme,32.0,-1,1,1,1,1,-1,1
312,Une femme,56.0,0,0,1,-1,-1,0,-1
313,Un homme,53.0,1,-1,1,-1,1,1,2
314,Un homme,40.0,1,1,1,1,1,1,1
315,Un homme,56.0,2,1,2,1,1,-1,1
316,Une femme,53.0,1,1,0,-1,1,2,1
317,Une femme,77.0,1,1,1,-1,-1,-1,2
318,Un homme,31.0,1,0,0,0,0,0,1
319,Une femme,49.0,1,1,2,-1,1,1,1
320,Une femme,65.0,2,2,1,-1,-2,2,1
321,Un homme,37.0,1,1,1,1,-1,-2,1
322,Un homme,43.0,1,1,1,-1,2,1,2
323,Un homme,41.0,1,1,1,1,1,1,1
324,Une femme,28.0,-1,1,-1,-2,0,-2,2
325,Une femme,71.0,-1,2,1,2,1,1,2
326,Un homme,66.0,1,2,2,1,1,1,1
327,Un homme,19.0,2,2,2,2,2,2,2
328,Un homme,52.0,1,1,1,-1,-1,1,2
329,Une femme,46.0,1,-1,1,1,1,-1,1
330,Un homme,31.0,1,2,2,1,1,1,2
331,Un homme,52.0,1,-1,-1,-2,-1,-1,-2
332,Un homme,24.0,1,1,1,-1,1,-1,1
333,Une femme,60.0,1,0,1,1,1,0,2
334,Un homme,35.0,1,1,1,-1,-1,0,1
335,Une femme,79.0,1,2,2,2,1,2,1
336,Un homme,20.0,2,1,1,1,1,-1,1
337,Une femme,50.0,-2,1,1,2,1,2,1
338,Une femme,55.0,1,1,1,-1,-1,1,2
339,Un homme,66.0,1,1,2,2,1,1,2
340,Une femme,28.0,-1,-2,1,2,-2,2,2
341,Une femme,58.0,1,1,-1,-2,-1,1,1
342,Une femme,73.0,1,0,0,-1,1,0,1
343,Une femme,19.0,1,-1,0,0,0,0,0
344,Une femme,80.0,2,1,2,-1,1,1,2
345,Un homme,29.0,2,2,2,2,-2,0,-2
346,Une femme,22.0,1,2,1,2,2,1,1
347,Une femme,70.0,1,2,2,2,1,1,2
348,Un homme,55.0,2,-1,1,1,1,1,1
349,Un homme,75.0,0,0,0,0,0,0,0
350,Une femme,41.0,-1,0,1,-1,1,1,1
351,Une femme,47.0,0,0,0,0,0,0,0
352,Un homme,78.0,1,2,2,1,2,2,2
