,SEXE,AGE,OA196_r1,OA196_r2,OA196_r3,OA196_r4,OA196_r5,OA196_r6,OA196_r7
517,Un homme,28.0,1,1,1,1,2,1,-1
518,Une femme,65.0,1,-1,2,2,2,1,-1
519,Un homme,73.0,2,0,1,-1,-2,2,-1
520,Un homme,53.0,1,-1,2,2,1,1,1
521,Une femme,49.0,0,0,0,0,0,0,0
522,Une femme,49.0,2,2,1,1,1,2,1
523,Un homme,32.0,1,-1,-1,1,-1,-1,1
524,Une femme,55.0,1,1,1,1,1,1,1
525,Une femme,31.0,0,0,0,0,0,0,0
526,Un homme,66.0,2,1,1,0,1,-1,1
527,Un homme,51.0,1,-2,2,2,-1,1,1
528,Une femme,75.0,1,1,2,1,-1,1,1
529,Un homme,36.0,1,1,1,-1,-1,1,-1
530,Un homme,41.0,0,0,0,0,0,0,0
531,Une femme,71.0,-1,-1,2,1,1,-2,-1
532,Une femme,76.0,1,2,2,1,-2,1,-1
533,Un homme,27.0,-1,-1,-2,-1,-2,-2,1
534,Un homme,32.0,-1,-1,1,-1,-1,1,-1
535,Un homme,59.0,1,1,1,1,1,1,1
536,Un homme,49.0,1,1,-1,-1,1,1,1
537,Un homme,46.0,1,-1,1,1,1,1,1
538,Une femme,75.0,1,2,2,-2,-2,2,-1
539,Un homme,23.0,1,1,1,-1,1,1,1
540,Une femme,41.0,1,1,2,1,1,2,1
541,Un homme,56.0,2,1,1,1,1,-1,2
542,Une femme,50.0,-1,-1,-1,-1,-1,-1,-1
543,Une femme,77.0,1,1,2,1,1,1,2
544,Une femme,74.0,1,-1,1,1,-1,1,1
545,Une femme,18.0,1,0,1,0,0,1,0
546,Une femme,48.0,1,-1,-1,2,-2,2,-2
547,Un homme,44.0,1,1,1,-2,-2,2,2
548,Une femme,34.0,1,1,1,1,1,1,1
549,Une femme,68.0,1,1,1,-1,-1,-1,1
550,Une femme,34.0,-1,1,2,1,1,1,1
551,Une femme,42.0,-2,-2,-2,-2,-2,-2,-2
552,Un homme,25.0,1,-1,2,2,-1,1,2
553,Une femme,45.0,1,1,1,-1,1,1,1
554,Un homme,47.0,1,-1,0,-2,0,-1,-1
555,Un homme,24.0,1,1,0,-1,-1,1,1
556,Une femme,54.0,-2,1,2,2,2,-1,-2
557,Une femme,26.0,1,1,2,2,2,0,1
558,Une femme,35.0,1,-1,1,1,0,1,0
559,Une femme,25.0,1,1,1,1,1,1,1
560,Une femme,34.0,2,0,0,1,-1,0,1
561,Un homme,55.0,-1,1,1,2,-2,2,1
562,Un homme,57.0,2,1,1,1,1,2,2
563,Une femme,29.0,1,2,1,1,1,1,2
564,Une femme,27.0,-1,-1,-1,-1,1,-1,-1
565,Une femme,29.0,2,2,1,2,1,1,2
566,Un homme,24.0,1,1,1,2,1,-1,1
567,Une femme,20.0,1,2,2,2,1,2,1
568,Une femme,21.0,1,1,1,2,1,2,1
569,Un homme,60.0,1,-1,-1,-1,1,1,2
570,Une femme,74.0,2,1,2,2,-1,1,1
571,Un homme,58.0,1,-1,1,-1,-1,-1,1
572,Une femme,45.0,1,1,1,-1,-1,-1,0
573,Une femme,77.0,-1,0,1,1,-1,1,2
574,Une femme,46.0,2,2,2,2,2,2,2
575,Un homme,54.0,-1,1,2,1,1,1,0
576,Une femme,77.0,2,1,1,1,1,-1,1
577,Un homme,19.0,1,-1,-1,-2,-1,-2,-1
578,Un homme,44.0,1,1,1,2,1,1,1
579,Une femme,53.0,1,1,1,2,1,1,1
580,Une femme,18.0,0,0,0,0,0,0,0
581,Un homme,52.0,2,1,0,-1,1,2,2
582,Un homme,20.0,1,1,-1,-1,-2,1,-1
583,Un homme,20.0,-1,-1,1,1,1,0,0
584,Un homme,41.0,1,1,1,1,-1,1,1
585,Un homme,62.0,2,-1,1,-2,-2,1,1
586,Une femme,44.0,-1,-1,-1,1,1,1,1
587,Une femme,31.0,1,-1,1,-1,1,-1,1
588,Un homme,69.0,0,0,1,0,0,1,0
589,Une femme,50.0,2,-1,2,-1,-1,1,1
590,Une femme,18.0,0,0,0,0,0,0,0
591,Un homme,77.0,-1,-1,-1,1,1,-1,-1
592,Un homme,21.0,-1,2,2,2,1,1,-1
593,Une femme,44.0,-1,-1,2,1,1,-1,1
594,Un homme,25.0,1,1,1,-1,-1,1,-1
595,Une femme,78.0,1,0,-1,-1,-1,-2,2
596,Une femme,37.0,1,0,0,-1,-1,0,-1
597,Une femme,20.0,0,0,0,0,0,0,0
598,Une femme,64.0,1,2,2,-1,-1,2,2
599,Une femme,24.0,1,1,1,1,1,-1,1
600,Une femme,26.0,1,1,2,0,0,1,1
601,Un homme,74.0,1,2,2,-1,1,1,2
602,Une femme,60.0,1,1,1,1,1,2,1
603,Un homme,32.0,-1,2,-2,1,-1,-1,-1
604,Un homme,56.0,1,1,1,2,1,1,1
605,Un homme,26.0,1,-1,1,-1,-1,2,-1
606,Un homme,66.0,1,-1,-1,-1,-1,-1,0
607,Une femme,24.0,1,-1,0,0,0,1,1
608,Un homme,20.0,1,2,2,-1,1,1,-1
609,Une femme,20.0,-1,0,-2,1,0,1,0
610,Un homme,23.0,1,-1,-2,2,-1,1,-1
611,Une femme,72.0,2,2,2,1,1,1,1
612,Une femme,50.0,2,-2,1,-2,1,2,1
613,Un homme,66.0,2,2,2,2,2,2,2
614,Un homme,52.0,1,-1,1,1,2,2,2
615,Un homme,20.0,1,1,1,1,-1,-1,2
616,Une femme,37.0,-1,1,2,1,-1,1,1
617,Une femme,20.0,1,0,1,1,1,1,1
618,Une femme,54.0,-1,2,2,1,1,1,2
619,Un homme,54.0,1,1,2,0,1,1,0
620,Un homme,76.0,2,2,2,-2,2,-2,2
621,Une femme,54.0,1,1,1,1,1,1,1
622,Un homme,59.0,0,1,2,1,0,1,1
623,Un homme,41.0,2,2,-2,2,2,2,2
624,Un homme,52.0,1,1,1,1,1,2,2
625,Une femme,32.0,-1,1,1,1,1,1,1
626,Une femme,53.0,0,0,0,0,0,0,1
627,Un homme,42.0,1,1,2,0,1,1,1
628,Une femme,76.0,1,-2,1,-2,-2,-1,0
629,Une femme,53.0,0,1,2,0,1,2,1
630,Une femme,34.0,1,1,1,1,1,1,1
631,Une femme,43.0,1,0,1,1,1,-1,0
632,Un homme,77.0,2,1,2,1,1,2,1
633,Une femme,67.0,2,-1,-1,-1,-1,2,1
634,Une femme,71.0,1,1,-1,-1,1,1,1
635,Un homme,55.0,1,1,1,1,-1,-1,1
636,Un homme,45.0,-1,1,1,-1,-1,0,1
637,Un homme,59.0,1,1,2,2,-1,-1,1
638,Un homme,65.0,1,0,1,0,0,1,0
639,Un homme,75.0,1,-1,1,-1,-1,-2,-1
640,Une femme,44.0,2,2,1,2,2,1,1
641,Un homme,75.0,2,2,1,-1,-1,2,1
642,Une femme,31.0,1,-1,1,-1,-1,1,1
643,Une femme,78.0,1,0,-1,-1,-1,2,1
644,Une femme,81.0,1,-2,-1,-1,-2,-1,1
645,Un homme,50.0,1,2,2,1,1,1,2
646,Un homme,38.0,1,1,1,-1,-1,1,2
647,Une femme,61.0,-1,2,2,2,-1,1,2
648,Une femme,68.0,1,1,1,-1,-1,1,1
649,Une femme,50.0,1,-1,1,-1,1,1,1
650,Un homme,51.0,2,2,1,1,1,1,2
651,Une femme,75.0,1,1,1,2,1,2,2
652,Une femme,35.0,1,2,-1,-1,-1,1,2
653,Une femme,29.0,-2,-1,1,-2,1,2,1
654,Une femme,67.0,1,-1,2,1,1,-1,2
655,Un homme,59.0,2,1,1,-1,2,1,1
656,Un homme,20.0,0,0,1,1,1,0,1
657,Un homme,34.0,-2,-2,2,2,-2,0,2
658,Une femme,50.0,1,2,2,-1,-1,1,2
659,Un homme,32.0,1,-1,1,1,0,1,-1
660,Une femme,42.0,2,1,1,2,1,-1,2
661,Une femme,86.0,-1,1,1,-1,-1,-1,2
662,Un homme,78.0,1,1,2,1,1,-1,2
663,Un homme,71.0,1,2,1,-1,1,1,1
664,Un homme,62.0,-1,1,2,1,2,1,1
665,Un homme,18.0,2,-2,2,-2,2,2,2
666,Une femme,21.0,1,1,1,-1,1,1,1
667,Une femme,33.0,0,0,0,0,0,0,0
668,Une femme,78.0,1,0,1,0,0,1,1
669,Un homme,71.0,1,1,1,2,1,-1,1
670,Une femme,60.0,1,1,2,1,1,2,2
671,Une femme,75.0,1,1,2,1,-1,1,1
672,Une femme,76.0,1,0,0,0,0,1,1
673,Un homme,75.0,2,1,2,1,1,1,1
674,Une femme,75.0,1,2,2,1,2,2,2
675,Une femme,78.0,1,1,1,1,1,1,1
676,Une femme,20.0,2,-1,2,1,1,1,1
677,Un homme,39.0,2,-1,1,-1,-1,1,1
678,Une femme,41.0,-1,2,2,2,2,2,1
679,Un homme,49.0,1,1,1,1,1,1,1
680,Un homme,45.0,0,1,1,1,0,1,-1
681,Un homme,46.0,0,0,0,0,0,0,0
682,Une femme,63.0,1,1,-2,-1,-2,1,-1
683,Un homme,78.0,2,1,-1,-2,-1,2,-1
684,Une femme,38.0,1,1,1,0,0,0,0
685,Une femme,21.0,2,1,1,1,-1,0,-1
686,Un homme,26.0,1,0,1,1,0,0,1
687,Une femme,49.0,1,1,1,-2,-2,1,1
688,Une femme,30.0,1,1,-1,1,1,2,2
689,Un homme,52.0,1,0,1,0,1,0,-1
690,Une femme,27.0,2,-2,2,-1,-2,1,1
691,Un homme,27.0,1,0,2,1,0,1,1
692,Une femme,67.0,1,1,-1,-1,-1,-1,-1
693,Une femme,57.0,2,1,1,-1,-1,1,1
694,Un homme,57.0,1,-1,1,1,-1,1,-1
695,Un homme,74.0,2,1,2,1,2,1,2
696,Un homme,70.0,0,0,0,0,0,0,1
697,Une femme,54.0,1,1,2,1,-2,2,2
698,Une femme,57.0,-1,1,0,-1,-1,1,1
699,Une femme,78.0,1,1,1,1,1,1,1
700,Une femme,43.0,1,2,-1,-1,0,0,-1
701,Une femme,32.0,0,1,1,1,1,0,1
702,Une femme,45.0,1,1,1,-1,-1,1,1
703,Une femme,42.0,2,0,1,0,0,0,2
704,Une femme,43.0,2,1,1,1,1,1,-1
705,Un homme,37.0,1,1,-1,2,1,1,2
706,Une femme,60.0,1,-1,1,1,-1,1,1
707,Un homme,19.0,2,0,1,-2,-2,-1,1
708,Une femme,67.0,1,1,1,-1,-1,1,1
709,Une femme,66.0,1,2,1,1,1,2,1
710,Une femme,44.0,1,-1,1,-1,0,0,-1
711,Un homme,22.0,1,1,1,1,1,1,1
712,Un homme,34.0,1,1,1,2,1,2,1
713,Un homme,75.0,1,1,2,2,-2,-1,0
714,Une femme,46.0,2,1,1,1,1,-1,2
715,Un homme,46.0,0,0,1,0,1,0,1
716,Un homme,56.0,2,2,2,0,0,0,2
717,Un homme,31.0,1,1,-1,1,1,1,2
718,Une femme,52.0,2,1,1,1,-1,2,2
719,Une femme,65.0,2,2,1,1,1,1,1
720,Un homme,39.0,1,1,-2,-1,-1,1,1
721,Un homme,70.0,2,1,1,2,1,1,2
722,Un homme,40.0,2,-2,2,-2,-2,2,2
723,Un homme,19.0,-1,1,2,0,-2,1,2
724,Une femme,47.0,1,1,1,-1,1,2,-1
725,Une femme,33.0,2,2,2,2,2,2,2
726,Une femme,53.0,0,0,0,0,0,0,0
727,Une femme,18.0,0,0,0,0,0,0,0
728,Un homme,19.0,1,1,-1,0,1,-2,-2
729,Une femme,75.0,1,2,2,2,1,1,2
730,Une femme,29.0,2,2,1,-1,-1,2,2
731,Un homme,57.0,1,1,2,-1,1,1,2
732,Une femme,58.0,1,1,2,1,2,1,1
733,Une femme,53.0,1,-1,1,-1,1,1,1
734,Une femme,47.0,1,1,-1,-1,-1,1,1
735,Un homme,41.0,1,1,2,1,1,1,-1
736,Une femme,47.0,2,2,2,1,1,1,1
737,Un homme,75.0,0,1,1,1,-2,-2,-2
738,Un homme,39.0,1,-1,1,-1,0,1,1
739,Un homme,76.0,0,1,1,1,1,0,1
740,Un homme,32.0,1,-1,1,-1,1,1,2
741,Une femme,63.0,1,-1,1,-1,-1,0,0
742,Un homme,41.0,1,-1,1,1,1,1,1
743,Une femme,22.0,2,1,2,-1,1,2,2
744,Une femme,31.0,1,1,2,1,1,-1,1
745,Un homme,70.0,1,1,-2,-2,-2,-1,-2
746,Un homme,18.0,1,1,1,1,1,1,1
747,Une femme,34.0,-1,1,0,0,0,0,1
748,Un homme,74.0,2,1,1,1,1,1,2
749,Un homme,40.0,1,2,2,-1,1,-2,1
750,Une femme,65.0,0,2,2,2,-1,2,2
751,Un homme,22.0,1,-1,1,-1,-1,-1,1
752,Un homme,44.0,1,0,2,2,1,0,1
753,Un homme,44.0,1,1,1,2,1,2,2
754,Une femme,50.0,1,-1,1,-1,-1,2,1
755,Un homme,41.0,1,1,1,1,-1,1,1
756,Une femme,70.0,-1,-1,-1,-1,-1,-1,-1
757,Une femme,74.0,1,1,0,1,1,1,1
758,Une femme,74.0,2,-1,0,-1,-1,2,0
759,Un homme,23.0,-1,-1,2,1,-1,-1,-1
760,Une femme,23.0,0,0,1,1,1,1,1
761,Une femme,25.0,2,-1,-1,2,2,2,-1
762,Un homme,44.0,1,-1,0,-1,-2,0,-1
763,Un homme,23.0,1,-1,1,-1,0,1,1
764,Une femme,76.0,1,1,1,1,1,1,1
765,Une femme,54.0,1,1,1,1,0,1,-1
766,Un homme,25.0,-1,-1,-1,-1,-1,-1,-1
767,Une femme,77.0,2,2,1,-2,-2,1,2
768,Un homme,53.0,1,1,-2,1,1,-1,1
769,Une femme,82.0,1,1,1,-1,-1,1,1
770,Un homme,22.0,2,2,2,2,2,2,2
771,Un homme,43.0,1,1,-1,-1,-1,-1,1
772,Une femme,56.0,1,-2,1,1,-1,1,1
773,Une femme,66.0,0,0,1,1,1,1,1
774,Une femme,77.0,1,0,0,-1,-1,1,1
775,Une femme,33.0,1,2,1,-2,1,2,-1
776,Une femme,31.0,1,1,2,2,1,1,1
777,Un homme,65.0,2,1,1,1,-1,2,1
778,Une femme,76.0,1,1,1,0,0,0,1
779,Un homme,22.0,1,1,2,-1,0,2,1
780,Une femme,19.0,1,1,-1,1,-2,2,2
781,Une femme,31.0,1,1,-1,1,1,-1,-1
782,Un homme,39.0,0,0,1,0,0,0,2
783,Un homme,45.0,-1,-1,1,-1,-1,0,1
784,Une femme,65.0,1,1,0,1,1,1,1
785,Une femme,56.0,1,1,1,1,1,1,1
786,Une femme,83.0,2,1,1,2,2,1,1
787,Une femme,54.0,1,-1,-2,-1,-2,1,1
788,Une femme,24.0,1,2,2,-1,1,2,2
789,Un homme,50.0,1,1,1,1,1,1,1
790,Une femme,44.0,1,0,0,0,0,0,1
791,Un homme,49.0,1,1,1,1,1,1,1
792,Une femme,76.0,2,2,1,1,1,2,2
793,Une femme,24.0,1,-1,-1,-1,1,-1,-1
794,Une femme,66.0,-1,-1,-1,-1,-1,-1,-1
795,Un homme,73.0,1,1,1,-1,-1,-1,-1
796,Une femme,48.0,2,1,1,-2,-1,-1,1
797,Un homme,28.0,2,1,2,1,1,1,1
798,Une femme,33.0,1,1,1,1,1,1,1
799,Une femme,51.0,0,0,0,1,0,0,0
800,Un homme,44.0,1,0,2,1,0,-1,1
801,Une femme,75.0,1,0,0,1,1,0,2
802,Un homme,69.0,1,1,2,-1,-2,2,2
803,Une femme,39.0,1,1,-1,1,1,-1,2
804,Une femme,68.0,0,0,0,0,0,0,0
805,Une femme,74.0,2,2,2,1,2,1,2
806,Une femme,75.0,2,1,1,2,1,1,1
807,Une femme,19.0,1,0,-2,-1,1,1,2
808,Une femme,43.0,2,-2,2,2,-1,1,1
809,Une femme,54.0,1,1,1,1,1,1,2
810,Un homme,42.0,1,-1,1,-1,-1,1,1
811,Une femme,47.0,-1,1,2,-1,-2,1,-2
812,Un homme,50.0,-2,-1,2,2,-1,1,-1
813,Un homme,55.0,-1,1,1,1,-2,-1,1
814,Un homme,32.0,0,0,0,0,0,0,0
815,Une femme,42.0,-2,2,2,2,2,1,1
816,Un homme,24.0,0,0,0,0,0,0,0
817,Une femme,18.0,0,0,0,0,0,0,0
818,Une femme,21.0,-1,-1,1,2,2,-1,-1
819,Un homme,74.0,1,1,1,1,1,1,1
820,Une femme,40.0,2,1,1,-2,-2,2,2
821,Un homme,46.0,2,1,1,-1,2,2,1
822,Un homme,71.0,1,-1,1,-1,-1,1,1
823,Une femme,21.0,1,1,2,-1,-1,1,2
824,Un homme,51.0,1,1,2,-1,-1,1,2
825,Un homme,77.0,1,0,1,2,-1,1,2
826,Un homme,75.0,1,1,1,2,1,1,1
827,Une femme,80.0,1,1,2,-1,1,0,2
828,Une femme,71.0,-1,1,2,1,1,2,1
829,Une femme,36.0,0,0,0,0,0,0,0
830,Une femme,50.0,1,1,1,1,1,1,1
831,Une femme,27.0,2,2,2,2,2,2,2
832,Une femme,27.0,1,2,2,0,-1,2,1
833,Un homme,48.0,1,2,2,1,2,-1,1
834,Un homme,23.0,1,1,1,1,-1,1,-1
835,Une femme,61.0,2,-1,1,-1,-1,-1,-1
836,Un homme,55.0,1,1,1,2,1,1,1
837,Une femme,72.0,2,0,2,-1,-1,2,2
838,Une femme,32.0,1,-1,1,-1,-1,1,1
839,Une femme,75.0,1,1,1,1,-1,1,1
840,Un homme,24.0,0,0,1,0,-1,0,-1
841,Une femme,76.0,1,1,1,1,1,1,1
842,Une femme,69.0,2,0,0,-1,0,1,1
843,Un homme,46.0,1,1,1,1,1,1,1
844,Un homme,57.0,1,1,2,1,2,1,2
845,Un homme,51.0,1,2,2,2,2,2,-1
846,Une femme,20.0,1,2,2,1,-2,1,2
847,Un homme,56.0,2,1,1,1,1,-1,1
848,Une femme,33.0,1,1,1,1,1,1,1
849,Un homme,80.0,1,-1,2,1,-1,1,1
850,Un homme,78.0,1,-2,1,-2,-2,1,2
851,Une femme,44.0,1,1,1,-1,1,1,1
852,Une femme,43.0,0,1,2,0,1,-2,2
853,Un homme,39.0,1,-2,1,-1,-1,1,1
854,Un homme,60.0,2,2,2,2,1,1,2
855,Un homme,47.0,-1,-1,2,1,1,1,-1
856,Un homme,48.0,1,-1,-1,1,1,1,0
857,Un homme,66.0,1,2,1,-1,-1,1,2
858,Une femme,86.0,1,-1,-1,-1,-1,1,1
859,Une femme,23.0,1,1,1,-1,-1,1,1
860,Une femme,69.0,1,1,1,-1,0,1,0
861,Un homme,81.0,1,1,2,-1,0,1,1
862,Un homme,62.0,1,1,1,1,1,1,-1
863,Une femme,48.0,0,0,0,0,0,0,0
864,Une femme,47.0,-1,1,2,1,-1,1,1
865,Un homme,52.0,2,0,0,-1,-2,1,-2
866,Un homme,63.0,1,-1,0,0,-1,0,-2
867,Un homme,53.0,-2,2,2,2,1,1,-2
868,Une femme,45.0,0,0,0,0,0,0,0
869,Un homme,22.0,-1,1,2,2,-2,-2,-1
870,Une femme,58.0,2,0,2,-1,-1,2,-1
871,Un homme,33.0,2,-1,2,1,1,2,2
872,Un homme,69.0,1,1,1,-1,-1,-1,-2
873,Une femme,49.0,2,-1,1,-2,-2,1,1
874,Une femme,39.0,1,-2,1,-1,-2,1,1
875,Une femme,55.0,2,2,2,2,2,2,-1
876,Un homme,44.0,1,1,1,1,1,1,1
877,Une femme,70.0,1,1,1,1,1,1,1
878,Un homme,22.0,1,-2,2,-1,-2,2,1
879,Une femme,30.0,1,-1,1,1,1,1,1
880,Une femme,20.0,1,-1,1,-2,-1,0,-1
881,Un homme,24.0,0,0,0,0,0,0,0
882,Une femme,20.0,-1,-1,-1,-1,-1,-1,-1
883,Un homme,22.0,0,-1,1,-1,0,1,1
884,Une femme,30.0,1,1,1,1,2,2,2
885,Un homme,66.0,2,2,1,2,2,2,2
886,Une femme,53.0,1,-1,1,-1,1,1,1
887,Une femme,61.0,1,0,2,1,2,1,0
888,Un homme,21.0,1,-1,1,1,-1,-1,-1
889,Un homme,39.0,1,1,1,1,1,1,1
890,Une femme,38.0,1,1,2,-2,1,2,2
891,Une femme,36.0,1,1,0,-1,0,0,2
892,Une femme,19.0,1,0,1,0,-1,1,0
893,Une femme,44.0,0,0,0,0,0,0,0
894,Une femme,30.0,1,-1,1,-1,1,-1,-1
895,Un homme,20.0,1,1,1,-1,-1,1,-1
896,Un homme,35.0,1,-1,1,1,1,0,0
897,Une femme,53.0,2,-1,0,-1,-1,-1,0
898,Un homme,71.0,1,2,2,-1,-1,1,-1
899,Une femme,58.0,1,1,2,1,1,2,1
900,Une femme,39.0,1,1,1,1,1,1,1
901,Une femme,46.0,1,-1,1,1,-1,1,-1
902,Un homme,34.0,1,1,1,1,1,1,1
903,Un homme,42.0,1,1,-1,1,1,1,-1
904,Un homme,56.0,-1,1,-1,-1,-1,1,-1
905,Une femme,75.0,1,1,1,1,1,1,1
906,Un homme,67.0,1,-1,1,0,0,1,1
907,Une femme,24.0,1,1,1,-1,1,-1,-1
908,Un homme,23.0,1,1,1,1,-1,1,-1
909,Une femme,24.0,-1,1,1,-1,-1,-1,-1
910,Une femme,71.0,1,0,1,-1,1,1,1
911,Une femme,52.0,1,1,1,1,1,1,1
912,Une femme,26.0,-2,-1,-1,-2,-2,0,-2
913,Une femme,37.0,0,0,0,0,0,0,0
914,Une femme,48.0,1,1,1,-1,-1,1,2
915,Une femme,54.0,-1,1,1,1,1,1,1
916,Une femme,35.0,1,1,-2,1,1,-1,-1
917,Une femme,72.0,1,2,2,-1,2,2,2
918,Un homme,76.0,2,2,-2,-2,-2,1,-2
919,Un homme,19.0,0,0,1,1,-1,1,0
920,Une femme,71.0,2,2,2,-1,-1,2,2
921,Une femme,22.0,1,1,0,0,-1,-1,1
922,Un homme,71.0,1,-1,-2,-1,1,-2,-2
923,Une femme,46.0,-1,1,1,2,-1,-1,1
924,Un homme,39.0,1,2,1,-1,1,1,2
925,Un homme,20.0,1,1,0,-2,1,1,1
926,Une femme,76.0,1,-1,2,1,1,1,0
927,Un homme,42.0,1,1,1,1,1,1,1
928,Un homme,55.0,1,1,1,1,1,1,-1
929,Un homme,79.0,1,-2,2,-1,-2,1,1
930,Un homme,54.0,1,1,1,1,1,1,1
931,Une femme,50.0,1,1,1,1,1,1,0
932,Un homme,81.0,2,2,2,2,1,1,2
933,Une femme,56.0,1,0,2,1,0,0,0
934,Une femme,72.0,1,1,2,1,1,1,2
935,Une femme,48.0,1,1,1,1,-1,1,-1
936,Une femme,37.0,2,0,1,-1,1,1,1
937,Une femme,35.0,1,1,0,0,1,1,-1
938,Un homme,50.0,1,-2,1,1,-2,2,2
939,Une femme,41.0,1,0,-1,0,0,0,0
940,Un homme,52.0,0,-1,2,0,0,0,0
941,Un homme,26.0,1,1,2,-2,-1,2,1
942,Un homme,19.0,1,1,1,-2,-1,1,2
943,Une femme,47.0,0,2,2,1,1,1,1
944,Une femme,59.0,0,1,2,2,1,2,2
945,Un homme,44.0,1,-2,-1,-2,-2,1,1
946,Un homme,48.0,1,1,2,-2,-1,2,2
947,Un homme,51.0,-1,-1,1,1,-1,-1,1
948,Une femme,32.0,0,0,0,0,0,0,1
949,Un homme,57.0,2,1,2,0,0,1,1
950,Une femme,58.0,1,-1,1,-1,-1,1,1
951,Un homme,47.0,1,-1,1,1,1,-1,2
952,Un homme,46.0,-2,-2,-2,-2,-2,-2,-2
953,Une femme,19.0,1,0,1,2,1,-1,-1
954,Une femme,62.0,2,1,1,1,1,1,1
955,Un homme,58.0,0,0,0,0,0,0,0
956,Un homme,59.0,-1,1,1,1,1,1,-1
957,Une femme,41.0,1,0,1,-1,-1,1,1
958,Une femme,65.0,1,-1,2,-1,-1,1,1
959,Un homme,39.0,1,-1,1,2,1,1,2
960,Un homme,55.0,2,-2,-2,-2,0,2,1
961,Un homme,50.0,2,-2,2,-2,-1,1,2
962,Une femme,47.0,-1,1,2,2,1,2,1
963,Une femme,50.0,1,0,0,0,0,0,0
964,Une femme,20.0,1,1,1,1,0,0,1
965,Une femme,56.0,1,1,1,1,1,1,1
966,Une femme,74.0,1,-2,0,1,-1,-1,0
967,Un homme,32.0,2,2,1,-2,-1,2,2
968,Un homme,39.0,1,-1,2,1,1,1,1
969,Un homme,22.0,2,-1,1,-2,-2,1,2
970,Une femme,33.0,1,1,-1,1,-1,1,1
971,Un homme,69.0,1,1,1,1,1,1,1
972,Une femme,25.0,1,0,1,-1,1,0,1
973,Une femme,24.0,2,-1,-1,-1,-1,1,1
974,Un homme,76.0,1,1,2,1,-1,2,1
975,Un homme,48.0,-1,-1,-2,-1,-1,-2,-1
976,Une femme,57.0,1,2,2,1,1,2,2
977,Un homme,56.0,1,2,2,2,2,1,2
978,Une femme,60.0,1,-1,2,-1,-1,1,1
979,Un homme,57.0,0,2,2,1,-2,2,2
980,Une femme,40.0,1,0,-2,-1,0,-1,1
981,Un homme,35.0,1,1,1,-1,-1,1,-1
982,Une femme,46.0,2,1,1,1,1,0,-1
983,Une femme,50.0,0,0,0,0,0,0,0
984,Un homme,33.0,1,1,-1,2,1,1,2
985,Une femme,56.0,1,2,2,2,2,2,2
986,Un homme,33.0,1,1,2,1,1,1,2
987,Un homme,24.0,-2,-2,2,2,1,-1,0
988,Une femme,47.0,0,1,0,2,0,0,0
989,Une femme,78.0,2,1,1,1,1,1,1
990,Une femme,29.0,1,1,2,-1,1,1,1
991,Une femme,47.0,2,2,2,2,2,2,2
992,Un homme,79.0,2,1,-2,-1,-1,-1,1
993,Une femme,20.0,1,1,2,-2,1,0,0
994,Un homme,46.0,1,1,1,1,1,-1,1
995,Un homme,23.0,-1,0,1,-1,1,2,1
996,Une femme,48.0,1,1,1,1,1,-1,1
997,Une femme,49.0,1,2,2,-1,0,2,0
998,Un homme,28.0,1,2,1,1,-2,2,-1
999,Un homme,68.0,2,1,0,1,-1,1,2
1000,Un homme,21.0,1,1,1,1,1,1,1
1001,Une femme,55.0,1,0,-1,-1,-1,-2,2
1002,Une femme,29.0,0,0,0,0,0,0,1
1003,Une femme,54.0,1,1,1,1,-1,-1,1
1004,Une femme,23.0,2,-1,1,1,-1,1,1
1005,Une femme,51.0,0,0,1,0,0,0,0
1006,Une femme,62.0,0,0,0,0,0,0,0
1007,Une femme,32.0,1,1,1,1,1,1,1
1008,Une femme,22.0,0,0,0,0,0,0,0
1009,Une femme,18.0,1,1,0,-2,-1,1,1
1010,Une femme,24.0,2,1,-1,2,-2,-1,2
1011,Une femme,38.0,1,0,1,0,0,1,1
1012,Une femme,29.0,1,1,-1,-1,1,1,1
1013,Un homme,40.0,1,1,2,1,1,1,1
1014,Un homme,20.0,2,-1,-1,-1,-1,-1,1
1015,Un homme,21.0,1,1,-1,1,-1,-2,1
1016,Une femme,53.0,1,0,1,1,0,1,1
1017,Un homme,21.0,1,-1,2,1,1,2,1
1018,Une femme,77.0,1,1,1,1,-1,1,1
1019,Un homme,52.0,2,2,2,2,2,2,2
1020,Une femme,83.0,2,1,2,1,2,1,1
1021,Un homme,42.0,0,0,0,0,0,0,0
1022,Une femme,24.0,0,1,-1,1,1,1,1
1023,Un homme,24.0,-2,-2,-1,-1,-2,-2,-2
1024,Une femme,42.0,-1,1,2,-1,2,1,1
1025,Un homme,59.0,0,0,2,-2,0,0,0
1026,Une femme,67.0,1,1,1,-1,1,1,2
1027,Une femme,78.0,1,1,1,1,-1,1,1
1028,Un homme,38.0,1,1,2,-1,0,1,1
1029,Un homme,60.0,0,0,0,0,0,0,0
1030,Une femme,75.0,2,2,2,1,1,1,2
1031,Une femme,50.0,1,1,1,1,1,1,1
1032,Une femme,69.0,2,1,1,-1,1,-1,1
1033,Un homme,30.0,1,1,2,1,-1,1,0
1034,Une femme,49.0,1,-1,1,1,-1,1,1
1035,Une femme,35.0,-1,-1,1,1,1,1,1
1036,Une femme,79.0,1,-1,1,1,1,1,-1
1037,Un homme,54.0,2,-1,1,-1,-2,-1,2
1038,Une femme,39.0,-1,0,1,0,0,0,0
